Va_rms_pre,Va_rms_flt,Vb_rms_flt,Vc_rms_flt,Va_sag,Vb_sag,Vc_sag,Ia_rms_flt,Ib_rms_flt,Ic_rms_flt,Ia_peak,Ib_peak,Ic_peak,I_max_peak,Va_H2,Va_H3,Va_H5,Ia_H2,Ia_H3,Ib_H2,Ib_H3,Va_thd,Ia_thd,V0_ratio,V2_ratio,V_imbalance,I_imbalance,Ib_Ia_ratio,Ic_Ia_ratio,fault_bus,fault_type,label,Rf_pu
1.03281,0.05179,0.05217,0.05158,0.94985,0.94949,0.95008,0.79198,0.79186,0.79157,1.12616,1.12604,1.13296,1.13296,0.00467,0.01069,0.00829,0.00058,0.0003,0.00043,0.00031,0.02502,0.00111,0.0,0.0,0.00618,0.00029,0.99984,0.99948,2,Three_Phase,1,0.016238
1.03319,0.05199,0.05164,0.05201,0.94968,0.95001,0.94966,0.79146,0.79167,0.79139,1.12236,1.12846,1.126,1.12846,0.00499,0.00527,0.00376,0.00054,0.00039,0.00039,0.00022,0.0197,0.00144,0.0,0.0,0.00465,0.0002,1.00026,0.99992,2,Three_Phase,1,0.01833
1.03284,0.05176,0.05153,0.05116,0.94988,0.9501,0.95046,0.79132,0.79124,0.79154,1.12264,1.12845,1.13122,1.13122,0.00933,0.00927,0.00475,0.00078,0.00082,0.00044,0.00018,0.02107,0.00169,0.0,0.0,0.00637,0.00022,0.9999,1.00028,2,Three_Phase,1,0.020691
1.03303,0.05224,0.05207,0.05168,0.94943,0.94962,0.94997,0.7919,0.79116,0.79166,1.12954,1.12471,1.12724,1.12954,0.00862,0.01468,0.00882,0.00014,0.00041,0.00045,0.00035,0.02958,0.00137,0.0,0.0,0.00612,0.00053,0.99906,0.99969,2,Three_Phase,1,0.023357
1.03272,0.05211,0.05175,0.05206,0.94954,0.94993,0.94958,0.792,0.79193,0.79152,1.12949,1.1263,1.12876,1.12949,0.01143,0.01205,0.00328,0.00037,0.00098,0.00066,0.00043,0.02475,0.00224,0.0,0.0,0.00434,0.00038,0.99991,0.99939,2,Three_Phase,1,0.026367
1.03293,0.0524,0.05199,0.05194,0.94927,0.94966,0.94975,0.79133,0.79208,0.79167,1.13083,1.12386,1.13008,1.13083,0.0095,0.01408,0.00881,0.00021,0.00013,0.00013,0.00085,0.02824,0.00125,0.0,0.0,0.00567,0.00049,1.00094,1.00042,2,Three_Phase,1,0.029764
1.03293,0.05235,0.05165,0.05223,0.94932,0.95,0.94946,0.79108,0.79192,0.79147,1.12568,1.13853,1.12668,1.13853,0.01338,0.01142,0.00399,0.00034,0.00063,0.00033,0.00077,0.02523,0.00153,0.0,0.0,0.0081,0.00054,1.00106,1.00049,2,Three_Phase,1,0.033598
1.03332,0.05194,0.05233,0.05182,0.94973,0.94934,0.94983,0.79179,0.79172,0.79162,1.12699,1.12829,1.12964,1.12964,0.00908,0.00473,0.00543,0.00087,0.00082,0.00022,1e-05,0.01945,0.00182,0.0,0.0,0.0057,0.00011,0.99991,0.99979,2,Three_Phase,1,0.037927
1.03317,0.05179,0.05232,0.05164,0.94988,0.94935,0.95004,0.79166,0.7918,0.79211,1.12541,1.12968,1.12315,1.12968,0.0085,0.0181,0.00922,0.00042,8e-05,0.00027,0.00031,0.02865,0.00147,0.0,0.0,0.00787,0.00032,1.00019,1.00057,2,Three_Phase,1,0.042813
1.03309,0.05176,0.05205,0.05229,0.9499,0.94958,0.94936,0.79123,0.7917,0.79185,1.13174,1.1256,1.13098,1.13174,0.01164,0.0088,0.00654,0.00014,0.00039,0.00057,0.00059,0.02721,0.00161,0.0,0.0,0.00529,0.00046,1.00059,1.00078,2,Three_Phase,1,0.048329
1.03304,0.05177,0.05233,0.05196,0.94988,0.94937,0.94968,0.79185,0.79157,0.79166,1.13209,1.12834,1.13119,1.13209,0.00813,0.00698,0.00135,4e-05,0.00028,0.0002,0.00021,0.01853,0.00136,0.0,0.0,0.00591,0.00019,0.99966,0.99977,2,Three_Phase,1,0.054556
1.03305,0.05174,0.05175,0.05171,0.94991,0.9499,0.94994,0.79144,0.792,0.79158,1.12267,1.12773,1.12691,1.12773,0.00214,0.00377,0.00916,8e-05,0.00049,0.00041,0.0002,0.02057,0.00135,0.0,0.0,0.00046,0.00042,1.00072,1.00018,2,Three_Phase,1,0.061585
1.0329,0.05185,0.05227,0.0517,0.9498,0.94941,0.94996,0.79171,0.79122,0.7918,1.12591,1.12735,1.13199,1.13199,0.0033,0.0105,0.0049,0.00066,0.00045,0.00066,0.00053,0.02538,0.00149,0.0,0.0,0.00635,0.00045,0.99938,1.00011,2,Three_Phase,1,0.069519
1.03345,0.0517,0.05179,0.05177,0.94997,0.94987,0.94992,0.79173,0.79169,0.79114,1.1257,1.12417,1.12472,1.1257,0.01653,0.00513,0.0098,0.00058,0.00029,0.00056,0.00056,0.02723,0.00181,0.0,0.0,0.00099,0.00048,0.99995,0.99926,2,Three_Phase,1,0.078476
1.03231,0.05223,0.05208,0.05139,0.94941,0.94956,0.95025,0.79114,0.79194,0.79176,1.13226,1.12173,1.13088,1.13226,0.01105,0.00839,0.00606,0.00073,0.00095,0.00053,0.00012,0.02075,0.00176,0.0,0.0,0.0098,0.0006,1.00101,1.00078,2,Three_Phase,1,0.088587
1.03249,0.05193,0.05166,0.05134,0.9497,0.94997,0.95031,0.79146,0.79153,0.79075,1.12555,1.12211,1.12349,1.12555,0.01508,0.00609,0.01152,0.0005,0.00038,0.00057,0.00039,0.02873,0.002,0.0,0.0,0.00591,0.00063,1.00009,0.9991,2,Three_Phase,1,0.1
